text,label,cleanData
"At about 8:00 pm on 10.09.1996, the
deceased along with his employee Kamlesh (PW-6) left for
Delhi on his scooter to purchase toughened glass sheets for TV
showcases. He was scheduled to return back around
midnight. As he did not come home even at 2:00 am on
11.09.1996, his father along with Ashok Kumar started
searching for him. Initially, they went to the place from where
the deceased purchased the toughened glass sheets and were
informed that he left the shop at 11:00 pm after purchasing the
glass sheets. They went to the house of one Mahinder around
04:30 am and were informed that the deceased met him earlier
in the evening but left immediately thereafter. They were
frantically searching for the deceased and finally found his
dead body around 5:30 pm on 11.09.1996 lying in the bushes
on the left side of the road, at a distance of one km. from
Anangpur Chowk towards Faridabad. The scooter on which the
deceased was travelling was also lying 3-4 feet away from his
body. They observed an injury mark near the eye of the
deceased and blood on his face. They were surprised to find
the body at that spot as, earlier in the day at around 2:00 pm
they had searched the same area but there was no sign of a
body being there.",murder,pm deceased along employee kamlesh pw left delhi scooter purchase toughened glass sheet tv showcase scheduled return back around midnight not come home even father along ashok kumar started searching initially went place deceased purchased toughened glass sheet informed left shop pm purchasing glass sheet went house one mahinder around informed deceased met earlier evening left immediately thereafter frantically searching deceased finally found dead body around pm lying bush left side road distance one km anangpur chowk towards faridabad scooter deceased travelling also lying foot away body observed injury mark near eye deceased blood face surprised find body spot earlier day around pm searched area sign body
"between 26th and 27th November, 2000 when all the
 2
 family members were sleeping, the appellant-accused woke up them at
 about 12:30 am and made an extra judicial confession before PW1
 Chandra Kumar (brother-in-law of the accused), PW4 Durdeshi Ram
 (brother-in-law of the accused) and PW2 Dhruv Ram (cousin brother of
 the deceased), that he had committed the murder of his father-in-law
 Roopram. On hearing this, all the persons rushed to see whether
 Roopram was sleeping on the cot. They found that he was dead, there
 was cut injury on the neck, teeth were broken, injury on his head and
 blood was oozing out. When they asked as to why he killed the
 deceased, the accused allegedly told them that deceased Roopram had
 an illicit relationship with accusedâ€™s wife Gaya Bai (who is daughter of
 the deceased) and therefore, he committed the murder of his
 father-in-law with a Spade. Nobody caught hold of the accused as he
 was holding blood-smeared Spade and he ran away towards the forest.",murder,november family member sleeping appellant accused woke made extra judicial confession chandra kumar brother law accused durdeshi ram brother law accused dhruv ram cousin brother deceased committed murder father law roopram hearing person rushed see whether roopram sleeping cot found dead cut injury neck teeth broken injury head blood oozing asked killed deceased accused allegedly told deceased roopram illicit relationship accused wife gaya bai daughter deceased therefore committed murder father law spade nobody caught hold accused holding blood smeared spade ran away towards forest
"The case of the prosecution in brief is that, at about 1.00
a.m. on 26.03.1999, all the accused who are the residents of same
village as that of the deceased came in a group armed with weapons
and assaulted the deceased (Amin) and PW-1, PW-2, PW-3, PW-4 and
PW-6. Deceased (Amin) sustained two injuries which are as under:
â€œ1. Abrasion on left leg.
2. Deep injury to mandible region, occipital
region of head-sharp injury (incised wound/lacerated
wound) by appearance. Cause of death was crush
injury to brain.â€
The doctor opined that the death was caused due to the second
injury mentioned above. ",murder,case prosecution brief accused resident village deceased came group armed weapon assaulted deceased amin pw pw pw pw pw deceased amin sustained two injury abrasion left leg deep injury mandible region occipital region head sharp injury incised wound lacerated wound appearance cause death crush injury brain doctor opined death caused due second injury mentioned
"I submit that my wife burnt to death this
evening on 5.30 p.m. I was at my shop and my brother was also
there. My mother and younger brotherÃ¢Â¬ ""!s wife had gone to our
house in Bihar. My wife was half mad. She was burnt to death.
When the smoke arose in the house and sounds of the crying
came out of the house, the neighbour came running to my shop
and informed me. I went to the house, went up the stairs and
pushed the door open. I saw my wife and daughter were burnt to
death. ",murder,submit wife burnt death evening p shop brother also mother younger brother wife gone house bihar wife half mad burnt death smoke arose house sound cry came house neighbour came running shop informed went house went stair pushed door open saw wife daughter burnt death
"They entered the house and saw
Paramjit Singh @Pamma on the floor and the appellant had a
phawra in her hands who caused head injuries by giving blows
 1
to the deceased in their presence. Jagbir Singh (PW.1) took
the phawra from the appellant and made her to sit on a cot
lying nearby. Jagbir Singh (PW.1) called one Vidya Sagar, a
local person and instructed him to make a complaint to the
police on the basis of which a case was registered against
the appellant under Section 302 IPC and appellant was
arrested.",murder,entered house saw paramjit singh floor appellant phawra hand caused head injury giving blow deceased presence jagbir singh pw took phawra appellant made sit cot lying nearby jagbir singh pw called one vidya sagar local person instructed make complaint police basis case registered appellant section ipc appellant arrested
"The case of the prosecution is that on 15.03.2010 at about
9.30 P.M. an FIR was lodged by PW-1/Dileshwar Sahu, who is the son
of the appellant/accused, that his younger brother Vedram was
residing with their father, who is appellant herein. On 15.03.2010
at about 8.00 P.M. while returning from the field he found the dead
body of his brother/Vedram in the courtyard and an axe was lying
near the dead body. He noticed injuries near the face of the
deceased. It was stated by PW.1 that PW.3/Fulmatbai, who is the
mother of the deceased, was crying there and on being asked, she
informed him that at about 7.30 P.M. the appellant/accused
committed the murder of Vedram by saying that the deceased/Vedram
does nothing and roams around without any purpose. ",murder,case prosecution p fir lodged pw dileshwar sahu son appellant accused younger brother vedram residing father appellant herein p returning field found dead body brother vedram courtyard axe lying near dead body noticed injury near face deceased stated pw pw fulmatbai mother deceased cry asked informed p appellant accused committed murder vedram saying deceased vedram nothing roams around without purpose
"On 02.06.2014 at about 9.00 P.M., the
deceased Shaikh Mohsin was proceeding for
dinner with another friend Riyaz. He was
wearing a pastel green colour shirt and had
a beard. According to the prosecution, the
accused respondents before us, targeted them
because they belonged to a certain community
and started assaulting Shaikh Mohsin with
hockey sticks, bats and stones. This
resulted in his death.",murder,p deceased shaikh mohsin proceeding dinner another friend riyaz wearing pastel green colour shirt beard according prosecution accused respondent u targeted belonged certain community started assaulting shaikh mohsin hockey stick bat stone resulted death
"22.04.1995 at
8.00 p.m., PW-1 Mateen Khan was going on motorcycle
with the deceased on main road NH-43. The assailant,
who was later identified as Mangal Singh fired two gun
shots from behind resulting in death of Ravi Srivastav.
Apart from the identification of Mangal Singh as the
assailant by direct evidence of P.W-1, the eye witness,
all the five appellants were implicated only on account
of phone connectivity as per call records which
information has been collected during the
investigation.",murder,p pw mateen khan going motorcycle deceased main road nh assailant later identified mangal singh fired two gun shot behind resulting death ravi srivastav apart identification mangal singh assailant direct evidence p w eye witness five appellant implicated account phone connectivity per call record information collected investigation
"The prosecution version is that on 5.7.1983 at about 5 AM to 5.30
AM, some 200-250 villagers, which included the accused persons as well,
armed with various weapons like Lathi, Ladna, Farsa, Hasua and Ballam
surrounded the village Siktahar. The accused persons forced out a number
of persons from their houses, assaulted them in various ways and ultimately
took four of them in tie-bound condition to a place called Hijul Pakur
Field which is some distance away from village Siktahar and they assaulted
them with various weapons causing serious injuries. ",murder,prosecution version villager included accused person well armed various weapon like lathi ladna farsa hasua ballam surrounded village siktahar accused person forced number person house assaulted various way ultimately took four tie bound condition place called hijul pakur field distance away village siktahar assaulted various weapon causing serious injury
"Narinderpal Singh is the
appellant before us. There were others also who
armed with hockey sticks, soti etc. encircled his
son Gobind Singh. The appellant, Narinderpal
Singh gave a blow with his kirch which hit him on
his right flank. When Narinderpal Singh gave a
second blow with his kirch, Jaspal Singh @ Palli
came and prevented it by making the way. Gobind
Singh later died in the hospital.",murder,narinderpal singh appellant u others also armed hockey stick soti etc encircled son gobind singh appellant narinderpal singh gave blow kirch hit right flank narinderpal singh gave second blow kirch jaspal singh palli came prevented making way gobind singh later died hospital
