text ,label
"At about 8:00 pm on 10.09.1996, the
deceased along with his employee Kamlesh (PW-6) left for
Delhi on his scooter to purchase toughened glass sheets for TV
showcases. He was scheduled to return back around
midnight. As he did not come home even at 2:00 am on
11.09.1996, his father along with Ashok Kumar started
searching for him. Initially, they went to the place from where
the deceased purchased the toughened glass sheets and were
informed that he left the shop at 11:00 pm after purchasing the
glass sheets. They went to the house of one Mahinder around
04:30 am and were informed that the deceased met him earlier
in the evening but left immediately thereafter. They were
frantically searching for the deceased and finally found his
dead body around 5:30 pm on 11.09.1996 lying in the bushes
on the left side of the road, at a distance of one km. from
Anangpur Chowk towards Faridabad. The scooter on which the
deceased was travelling was also lying 3-4 feet away from his
body. They observed an injury mark near the eye of the
deceased and blood on his face. They were surprised to find
the body at that spot as, earlier in the day at around 2:00 pm
they had searched the same area but there was no sign of a
body being there.",murder
"between 26th and 27th November, 2000 when all the
 2
 family members were sleeping, the appellant-accused woke up them at
 about 12:30 am and made an extra judicial confession before PW1
 Chandra Kumar (brother-in-law of the accused), PW4 Durdeshi Ram
 (brother-in-law of the accused) and PW2 Dhruv Ram (cousin brother of
 the deceased), that he had committed the murder of his father-in-law
 Roopram. On hearing this, all the persons rushed to see whether
 Roopram was sleeping on the cot. They found that he was dead, there
 was cut injury on the neck, teeth were broken, injury on his head and
 blood was oozing out. When they asked as to why he killed the
 deceased, the accused allegedly told them that deceased Roopram had
 an illicit relationship with accusedâ€™s wife Gaya Bai (who is daughter of
 the deceased) and therefore, he committed the murder of his
 father-in-law with a Spade. Nobody caught hold of the accused as he
 was holding blood-smeared Spade and he ran away towards the forest.",murder
"The case of the prosecution in brief is that, at about 1.00
a.m. on 26.03.1999, all the accused who are the residents of same
village as that of the deceased came in a group armed with weapons
and assaulted the deceased (Amin) and PW-1, PW-2, PW-3, PW-4 and
PW-6. Deceased (Amin) sustained two injuries which are as under:
â€œ1. Abrasion on left leg.
2. Deep injury to mandible region, occipital
region of head-sharp injury (incised wound/lacerated
wound) by appearance. Cause of death was crush
injury to brain.â€
The doctor opined that the death was caused due to the second
injury mentioned above. ",murder
"I submit that my wife burnt to death this
evening on 5.30 p.m. I was at my shop and my brother was also
there. My mother and younger brotherÃ¢Â¬ ""!s wife had gone to our
house in Bihar. My wife was half mad. She was burnt to death.
When the smoke arose in the house and sounds of the crying
came out of the house, the neighbour came running to my shop
and informed me. I went to the house, went up the stairs and
pushed the door open. I saw my wife and daughter were burnt to
death. ",murder
"They entered the house and saw
Paramjit Singh @Pamma on the floor and the appellant had a
phawra in her hands who caused head injuries by giving blows
 1
to the deceased in their presence. Jagbir Singh (PW.1) took
the phawra from the appellant and made her to sit on a cot
lying nearby. Jagbir Singh (PW.1) called one Vidya Sagar, a
local person and instructed him to make a complaint to the
police on the basis of which a case was registered against
the appellant under Section 302 IPC and appellant was
arrested.",murder
"The case of the prosecution is that on 15.03.2010 at about
9.30 P.M. an FIR was lodged by PW-1/Dileshwar Sahu, who is the son
of the appellant/accused, that his younger brother Vedram was
residing with their father, who is appellant herein. On 15.03.2010
at about 8.00 P.M. while returning from the field he found the dead
body of his brother/Vedram in the courtyard and an axe was lying
near the dead body. He noticed injuries near the face of the
deceased. It was stated by PW.1 that PW.3/Fulmatbai, who is the
mother of the deceased, was crying there and on being asked, she
informed him that at about 7.30 P.M. the appellant/accused
committed the murder of Vedram by saying that the deceased/Vedram
does nothing and roams around without any purpose. ",murder
"On 02.06.2014 at about 9.00 P.M., the
deceased Shaikh Mohsin was proceeding for
dinner with another friend Riyaz. He was
wearing a pastel green colour shirt and had
a beard. According to the prosecution, the
accused respondents before us, targeted them
because they belonged to a certain community
and started assaulting Shaikh Mohsin with
hockey sticks, bats and stones. This
resulted in his death.",murder
"22.04.1995 at
8.00 p.m., PW-1 Mateen Khan was going on motorcycle
with the deceased on main road NH-43. The assailant,
who was later identified as Mangal Singh fired two gun
shots from behind resulting in death of Ravi Srivastav.
Apart from the identification of Mangal Singh as the
assailant by direct evidence of P.W-1, the eye witness,
all the five appellants were implicated only on account
of phone connectivity as per call records which
information has been collected during the
investigation.",murder
"The prosecution version is that on 5.7.1983 at about 5 AM to 5.30
AM, some 200-250 villagers, which included the accused persons as well,
armed with various weapons like Lathi, Ladna, Farsa, Hasua and Ballam
surrounded the village Siktahar. The accused persons forced out a number
of persons from their houses, assaulted them in various ways and ultimately
took four of them in tie-bound condition to a place called Hijul Pakur
Field which is some distance away from village Siktahar and they assaulted
them with various weapons causing serious injuries. ",murder
"Narinderpal Singh is the
appellant before us. There were others also who
armed with hockey sticks, soti etc. encircled his
son Gobind Singh. The appellant, Narinderpal
Singh gave a blow with his kirch which hit him on
his right flank. When Narinderpal Singh gave a
second blow with his kirch, Jaspal Singh @ Palli
came and prevented it by making the way. Gobind
Singh later died in the hospital.",murder
"the appellant murdered one Munkaran Singh Gond on
 9.4.1995 at 8 oâ€™clock in the morning having suspected
 that the deceased has developed illicit relationship with
 his wife Fuljhariya. According to the prosecution case,
 the appellant, deceased and the wife of the appellant had
 been collecting the flowers of Mahua on the fateful day
 2
and when Fuljhariya-wife of the appellant, was at some
distance, the appellate started talking to the deceased
about the illicit relationship developed by him with the
appellantâ€™s wife and it is at that time, the appellant
assaulted the deceased with the axe. He died on the
spot. ",murder
"at about 7.00 a.m., certain persons including the petitioner herein entered the courtyard of the house of the deceased Chote Lal with Lathi, 2 danda and axe and committed his murder. From the record, it appears that apart from certain other witnesses who had deposed, star witness was the wife of the deceased Smt. Bitawanbai (P.W.12) who is the eye witness. Her evidence was sought to be discredited before the trial court as well as the High Court on the ground that she is an interested witness, being the wife of the deceased.",murder
" at 10:00 p.m. her husband
(the deceased) was sitting in his house and he being
a native doctor was treating a patient. She was also
sitting in the courtyard. One Majo Khatoon, the
2
neighbour, was also present in the house. The
appellant along with one other accused person armed
with knives in their hands reached there. They
inflicted cut injury and stab injury on the deceased.
The deceased fell down. PW-5 raised alarm. When PWs
2, 3, 4 and 6 reached the place, the appellant along
with the other accused person went away. On
examination, the Doctor found Farid Ansari dead.",murder
"when they reached a sweet meat shop, Meriga
Yedukondalu, A-4, and Utukuru Seenaiah, A-6 (since deceased)
attacked them as a result of which, PW1, who was driving the scooter
lost control of the scooter and both of them fell down. As the
prosecution story proceeds, Vutukuru Lakshmaiah, A-1, Rayapu
 3
Srinivasulu, A-2, Rayapu Sivaiah, A-3, Meriga Ramaiah, A-5, and
Meriga Penchlaiah, A-7, stabbed the deceased multiple times with
knives, while A-4 and A-6 beat him with iron rods. A-2 then tried to
stab PW-1 but missed. Thereafter A-3 stabbed PW-1 with a knife on
his left arm, but he managed to escape and hid in the PWD office
situated nearby.",murder
